Trip;Date;Route/Area;Weather;Battery Temperature (Start) [¡C];Battery Temperature (End);Battery State of Charge (Start);Battery State of Charge (End);;Ambient Temperature (Start) [¡C];Target Cabin Temperature;Distance [km];Duration [min];;Fan;Note
TripB29;2020-01-12_12-33-29;Munich North;cloudy;11,0;14,0;31,5%;15,4%;16,1%;3,5;22,0;15,83;16,14;;Automatic, Level 1;Sunday -> little traffic
TripB30;2020-01-13_07-53-37;Munich North;sunrise;4,0;6,0;84,2%;70,4%;13,8%;0,0;22,0;14,86;15,35;;Automatic, Level 1 (screen defrost for the first 2 min);
TripB31;2020-01-13_17-31-04;Munich North;dark;6,0;8,0;72,1%;57,8%;14,3%;3,5;22,0;15,24;18,28;;Automatic, Level 1;
TripB32;2020-01-14_09-47-42;Munich North;cloudy;4,0;7,0;52,6%;38,1%;14,5%;2,0;22,0;14,24;13,26;;Automatic, Level 1;
TripB33;2020-01-14_11-44-28;Munich North;cloudy;11,0;12,0;77,4%;71,6%;5,8%;4,0;22,0;7,03;9,13;;Automatic, Level 1;+ 160 kg
TripB34;2020-01-14_12-55-08;Munich North;cloudy;11,0;11,0;73,9%;71,3%;2,6%;5,5;22,0;9,14;12,23;;Automatic, Level 1;+ 160 kg
TripB35;2020-01-14_17-59-06;Munich North;dark;11,0;13,0;85,4%;71,5%;13,9%;4,0;22,0;15,42;22,71;;Automatic, Level 1;
TripB36;2020-01-15_10-43-44;Munich North;sunny;6,0;10,0;72,1%;44,5%;27,6%;4,0;22,0;38,72;47,54;;Automatic, Level 1;Open door at 37:10 and 42:00 for 30s
TripB37;2020-01-21_09-15-20;Munich East;slightly cloudy;8,0;10,0;83,8%;68,0%;15,8%;-3,0;22,0;17,46;23,62;;Automatic, Level 1;
TripB38;2020-02-07_09-32-02;FTMRoute reverse;sunny;-1,0;3,0;65,0%;48,8%;16,2%;-1,5;22,0;18,90;27,38;;Automatic, Level 1;Rush Hour
;;;;;;;;;;;;;;;
